Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric",3.900000,8.600000,0.000000,top
"C2","10u","C_0603_1608Metric",6.200000,3.700000,270.000000,top
"C3","100n","C_0402_1005Metric",-5.200000,-1.800000,180.000000,top
"C4","100n","C_0402_1005Metric",4.800000,4.275000,270.000000,top
"C5","1u","C_0402_1005Metric",5.400000,-1.100000,270.000000,top
"C6","100n","C_0402_1005Metric",6.500000,-1.100000,270.000000,top
"C7","100n","C_0402_1005Metric",-3.000000,6.800000,0.000000,top
"C8","1u","C_0402_1005Metric",3.900000,7.500000,0.000000,top
"C9","100n","C_0402_1005Metric",-4.750000,-0.250000,90.000000,top
"C10","100n","C_0402_1005Metric",-3.280000,-12.040000,90.000000,top
"C11","6p","C_0402_1005Metric",-1.700000,-5.350000,90.000000,top
"C12","2.7p","C_0402_1005Metric",-4.400000,-6.000000,270.000000,top
"C13","6p","C_0402_1005Metric",2.900000,-4.850000,270.000000,top
"C14","2.7p","C_0402_1005Metric",-3.000000,-6.000000,270.000000,top
"C15","100n","C_0402_1005Metric",-9.100000,-2.700000,180.000000,top
"C16","100n","C_0402_1005Metric",6.100000,-7.200000,180.000000,top
"D1","Red LED","LED_0603_1608Metric",-5.700000,7.600000,270.000000,top
"FB1","470 @ 100MHz","L_0402_1005Metric",2.940000,9.700000,180.000000,top
"FB2","470 @ 100MHz","L_0402_1005Metric",7.600000,-1.120000,90.000000,top
"R1","5.1K","R_0402_1005Metric",6.000000,15.000000,270.000000,top
"R2","5.1K","R_0402_1005Metric",-6.000000,15.000000,270.000000,top
"R3","2.7K","R_0402_1005Metric",4.600000,-10.400000,90.000000,top
"R4","200k","R_0402_1005Metric",-7.000000,-18.000000,225.000000,top
"R5","2.7K","R_0402_1005Metric",3.500000,-10.400000,270.000000,top
"R6","1K","R_0402_1005Metric",-3.000000,8.000000,180.000000,top
"R7","200k","R_0402_1005Metric",7.000000,-18.000000,315.000000,top
"R8","10k","R_0402_1005Metric",6.100000,-2.800000,0.000000,top
"R9","10k","R_0402_1005Metric",-7.100000,-2.700000,180.000000,top
"R10","10k","R_0402_1005Metric",4.800000,1.100000,270.000000,top
"SW1","SW_SPST","SW_SPST_B3U-1000P",7.600000,-5.000000,0.000000,top
"SW2","SW_SPST","SW_SPST_B3U-1000P",-7.600000,-5.000000,0.000000,top
"U1","STM32F411CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",0.000000,2.000000,90.000000,top
"U2","SOT-23-3 LDO","SOT-553",1.600000,7.960000,180.000000,top
"U3","24LC256","SOIC-8_3.9x4.9mm_P1.27mm",0.000000,-12.700000,90.000000,top
"USB1","USB_C_Receptacle_USB2.0","TYPE-C-31-M-12",0.000000,17.000000,180.000000,top
"USB2","USB_C_Receptacle_USB2.0","TYPE-C-31-M-12",-12.800000,-14.800000,315.000000,top
"USB3","USB_C_Receptacle_USB2.0","TYPE-C-31-M-12",12.800000,-14.800000,45.000000,top
"Y1","24MHz 8pF","Crystal_SMD_2520-4Pin_2.5x2.0mm",0.600000,-5.100000,0.000000,top
"Y2","32.768K 7p","Crystal_SMD_2012-2Pin_2.0x1.2mm",-3.700000,-4.000000,0.000000,top
